Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,unlikely.started,unlikely.stopped,neutral.started,neutral.stopped,Likely.started,Likely.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Passing off somebody else's work as your own. (E),,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,42.961431921998155,None,4,0.627,0.0045637705916306,None,42.961431921998155,None,42.961431921998155,None,42.961431921998155,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,43.611519272002624,None,4,0.573,0.0004059726052219048,None,43.611519272002624,None,43.611519272002624,None,43.611519272002624,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,44.21150662499713,None,4,0.411,0.0036019896069774404,None,44.21150662499713,None,44.21150662499713,None,44.21150662499713,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Going down a ski run that is beyond your ability or closed. (R),,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,44.64526471600402,None,4,0.564,0.008629610601929016,None,44.64526471600402,None,44.64526471600402,None,44.64526471600402,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,45.22796538399416,None,4,0.525,0.002609444592962973,None,45.22796538399416,None,45.22796538399416,None,45.22796538399416,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Approaching your boss to ask for a raise. (S),,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,45.77835033799056,None,4,0.49,0.0041855696035781875,None,45.77835033799056,None,45.77835033799056,None,45.77835033799056,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Illegally copying a piece of software. (E) ,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,46.2953991300019,None,4,0.458,0.004431424604263157,None,46.2953991300019,None,46.2953991300019,None,46.2953991300019,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,46.77805606900074,None,5,0.445,0.007717242595390417,None,46.77805606900074,None,46.77805606900074,None,46.77805606900074,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,47.24527790899447,None,5,0.521,0.0005422356043709442,None,47.24527790899447,None,47.24527790899447,None,47.24527790899447,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,47.79511041600199,None,2,1.325,0.0023355846060439944,None,47.79511041600199,None,47.79511041600199,None,47.79511041600199,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Investing 5% of your annual income in an conservative stock. (I),,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,49.144778710004175,None,3,0.825,0.0024344246048713103,None,49.144778710004175,None,49.144778710004175,None,49.144778710004175,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,49.979276586003834,None,3,0.484,0.008975095595815219,None,49.979276586003834,None,49.979276586003834,None,49.979276586003834,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,50.49436127000081,None,3,0.496,0.006791838590288535,None,50.49436127000081,None,50.49436127000081,None,50.49436127000081,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Engaging in unprotected sex. (H),,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,51.011194689999684,None,3,0.426,0.004029692601761781,None,51.011194689999684,None,51.011194689999684,None,51.011194689999684,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,51.46123877199716,None,3,0.489,0.0007848526001907885,None,51.46123877199716,None,51.46123877199716,None,51.46123877199716,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,51.97771867600386,None,3,0.48,0.00811038160463795,None,51.97771867600386,None,51.97771867600386,None,51.97771867600386,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,52.477922591991955,None,3,0.458,0.0024798095982987434,None,52.477922591991955,None,52.477922591991955,None,52.477922591991955,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,52.961318037996534,None,3,0.457,0.0018045645847450942,None,52.961318037996534,None,52.961318037996534,None,52.961318037996534,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Not wearing a helmet when riding a motorcycle. (H),,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,53.44523478599149,None,3,0.483,0.006172977606183849,None,53.44523478599149,None,53.44523478599149,None,53.44523478599149,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Gambling a week's income at a casino. (G),,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,53.96090138600266,None,3,0.486,0.0034257215884281322,None,53.96090138600266,None,53.96090138600266,None,53.96090138600266,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Taking a job that you enjoy over one that is prestigious but less enjoyable. (S),,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,54.47802128799958,None,3,0.476,0.004573749596602283,None,54.47802128799958,None,54.47802128799958,None,54.47802128799958,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,54.9787245119951,None,3,0.456,0.0016167206049431115,None,54.9787245119951,None,54.9787245119951,None,54.9787245119951,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Exposing yourself to the sun without using sunscreen. (H),,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,55.46185867099848,None,3,0.507,0.003285917598986998,None,55.46185867099848,None,55.46185867099848,None,55.46185867099848,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Trying out bungee jumping at least once. (R),,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,55.99475906799489,None,3,0.41,0.004917705591651611,None,55.99475906799489,None,55.99475906799489,None,55.99475906799489,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,"Piloting your own small plane, if you could. (R) ",,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,56.42810004999046,None,3,0.459,0.005380837596021593,None,56.42810004999046,None,56.42810004999046,None,56.42810004999046,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,56.911658337994595,None,3,0.443,0.004218110610963777,None,56.911658337994595,None,56.911658337994595,None,56.911658337994595,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Regularly eating high cholesterol foods. (H) ,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,57.37812936899718,None,3,0.626,0.00290728360414505,None,57.37812936899718,None,57.37812936899718,None,57.37812936899718,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Admitting that your tastes are different from those of your friends. (S),,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.01149061899923,None,58.26079054600268,None,58.26079054600268,None,3,0.674,0.0016124015965033323,None,58.26079054600268,None,58.26079054600268,None,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.96110282400332,None,58.96110282400332,None,3,0.44,0.0005979225970804691,None,58.96110282400332,None,58.96110282400332,None,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Betting a day's income at the horse races. (G),,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.42773127199325,None,59.42773127199325,None,4,0.458,0.004159949618042447,None,59.42773127199325,None,59.42773127199325,None,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Buying an illegal drug for your own use. (H),,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.91104316500423,None,59.91104316500423,None,4,0.441,0.004288121592253447,None,59.91104316500423,None,59.91104316500423,None,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Cheating on an exam. (E),,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.37819485699583,None,60.37819485699583,None,4,0.46,0.004876553590293042,None,60.37819485699583,None,60.37819485699583,None,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
