Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating5.response,rating5.rt,rating5.started,rating5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Having an affair with a married man or woman. (E),,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,42.678002393004135,None,3,0.46,0.003130276207230054,None,42.678002393004135,None,42.678002393004135,None,42.678002393004135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Forging somebody's signature. (E),,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,43.17743032600265,None,3,0.491,0.0034194191975984722,None,43.17743032600265,None,43.17743032600265,None,43.17743032600265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Passing off somebody else's work as your own. (E),,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,43.69450895000773,None,3,0.476,0.00398694520117715,None,43.69450895000773,None,43.69450895000773,None,43.69450895000773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,44.19446267100284,None,3,0.492,0.003881861222907901,None,44.19446267100284,None,44.19446267100284,None,44.19446267100284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,44.71148113299569,None,3,0.48,0.0012154421856394038,None,44.71148113299569,None,44.71148113299569,None,44.71148113299569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Going down a ski run that is beyond your ability or closed. (R),,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,45.22774765599752,None,3,0.51,0.003966047210269608,None,45.22774765599752,None,45.22774765599752,None,45.22774765599752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,45.76118170100381,None,3,0.457,0.003798905192525126,None,45.76118170100381,None,45.76118170100381,None,45.76118170100381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Approaching your boss to ask for a raise. (S),,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,46.24488098300935,None,3,0.479,0.006084574197302572,None,46.24488098300935,None,46.24488098300935,None,46.24488098300935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Illegally copying a piece of software. (E) ,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,46.74493377600447,None,3,0.478,0.007724027193034999,None,46.74493377600447,None,46.74493377600447,None,46.74493377600447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,47.245308270998066,None,3,0.496,0.005105699208797887,None,47.245308270998066,None,47.245308270998066,None,47.245308270998066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,47.778175136001664,None,3,0.458,0.0011855081975227222,None,47.778175136001664,None,47.778175136001664,None,47.778175136001664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,48.26105870300671,None,3,0.475,0.0050903232040582225,None,48.26105870300671,None,48.26105870300671,None,48.26105870300671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 5% of your annual income in an conservative stock. (I),,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,48.761024475999875,None,3,0.473,0.0026634042005753145,None,48.761024475999875,None,48.761024475999875,None,48.761024475999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,49.26168074499583,None,3,0.407,0.0032872492010938004,None,49.26168074499583,None,49.26168074499583,None,49.26168074499583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,49.695121390002896,None,3,0.409,0.004495873203268275,None,49.695121390002896,None,49.695121390002896,None,49.695121390002896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Engaging in unprotected sex. (H),,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,50.12759672700486,None,3,0.41,0.006068247195798904,None,50.12759672700486,None,50.12759672700486,None,50.12759672700486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,50.56180451299588,None,3,0.409,0.0026146932068513706,None,50.56180451299588,None,50.56180451299588,None,50.56180451299588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,50.99471327899664,None,3,0.422,0.00022695818915963173,None,50.99471327899664,None,50.99471327899664,None,50.99471327899664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,51.44413072100724,None,3,0.408,0.002978663207613863,None,51.44413072100724,None,51.44413072100724,None,51.44413072100724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,51.87835377200099,None,3,0.421,0.0012380051921354607,None,51.87835377200099,None,51.87835377200099,None,51.87835377200099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Not wearing a helmet when riding a motorcycle. (H),,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,52.328186361002736,None,3,0.408,0.003591838205466047,None,52.328186361002736,None,52.328186361002736,None,52.328186361002736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Gambling a week's income at a casino. (G),,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,52.760834986998816,None,3,0.407,0.003941080198273994,None,52.760834986998816,None,52.760834986998816,None,52.760834986998816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Taking a job that you enjoy over one that is prestigious but less enjoyable. (S),,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,53.194887671998,None,3,0.418,0.01585865738161374,None,53.194887671998,None,53.194887671998,None,53.194887671998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,53.64443161600502,None,3,0.543,0.003016120186657645,None,53.64443161600502,None,53.64443161600502,None,53.64443161600502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Exposing yourself to the sun without using sunscreen. (H),,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,54.22785854199901,None,3,0.408,0.0017740152106853202,None,54.22785854199901,None,54.22785854199901,None,54.22785854199901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Trying out bungee jumping at least once. (R),,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,54.66029488800268,None,3,0.427,0.0047715051914565265,None,54.66029488800268,None,54.66029488800268,None,54.66029488800268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,"Piloting your own small plane, if you could. (R) ",,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,55.12756241000898,None,3,0.462,0.005433017198811285,None,55.12756241000898,None,55.12756241000898,None,55.12756241000898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,55.61061696000979,None,3,0.489,0.002544233182561584,None,55.61061696000979,None,55.61061696000979,None,55.61061696000979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Regularly eating high cholesterol foods. (H) ,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,56.1279598139954,None,3,0.444,0.0059792691899929196,None,56.1279598139954,None,56.1279598139954,None,56.1279598139954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Admitting that your tastes are different from those of your friends. (S),,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.57828118999896,None,56.86093591300596,None,56.86093591300596,None,3,0.673,0.016427944399765693,None,56.86093591300596,None,56.86093591300596,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.54452879099699,None,57.54452879099699,None,3,0.444,0.005933952197665349,None,57.54452879099699,None,57.54452879099699,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Betting a day's income at the horse races. (G),,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.01068629299698,None,58.01068629299698,None,3,0.444,0.007325374201172963,None,58.01068629299698,None,58.01068629299698,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Buying an illegal drug for your own use. (H),,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.47719356500602,None,58.47719356500602,None,3,0.425,0.0029666462069144472,None,58.47719356500602,None,58.47719356500602,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Cheating on an exam. (E),,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.92735833900224,None,58.92735833900224,None,3,0.461,0.00501707119110506,None,58.92735833900224,None,58.92735833900224,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.41079022700433,None,59.41079022700433,None,3,0.446,0.00695445820747409,None,59.41079022700433,None,59.41079022700433,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8945679400058,None,59.8945679400058,None,3,0.489,0.0008182221936294809,None,59.8945679400058,None,59.8945679400058,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.41032126599748,None,60.41032126599748,None,3,0.493,0.005421829206170514,None,60.41032126599748,None,60.41032126599748,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Cheating by a significant amount on your income tax return. (E),,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.92801343400788,None,60.92801343400788,None,3,0.412,0.006391888193320483,None,60.92801343400788,None,60.92801343400788,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Disagreeing with your father on a major issue. (S),,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.36066872000811,None,61.36066872000811,None,3,0.409,0.004385453197755851,None,61.36066872000811,None,61.36066872000811,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Betting a day's income at a high stake poker game. (G),,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.793812042000354,None,61.793812042000354,None,3,0.442,0.0024260972131742164,None,61.793812042000354,None,61.793812042000354,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Having an affair with a married man or woman. (E),,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.260535641005845,None,62.260535641005845,None,3,0.457,0.0030806642025709152,None,62.260535641005845,None,62.260535641005845,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Forging somebody's signature. (E),,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.74430277499778,None,62.74430277499778,None,3,0.458,0.0036567652132362127,None,62.74430277499778,None,62.74430277499778,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Passing off somebody else's work as your own. (E),,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2271501399955,None,63.2271501399955,None,3,0.442,0.002833124191965908,None,63.2271501399955,None,63.2271501399955,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.693759169997065,None,63.693759169997065,None,3,0.471,0.001399778193444945,None,63.693759169997065,None,63.693759169997065,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.19400830399536,None,64.19400830399536,None,3,0.623,0.0020334932050900534,None,64.19400830399536,None,64.19400830399536,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Going down a ski run that is beyond your ability or closed. (R),,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.84366741300619,None,64.84366741300619,None,3,0.477,0.004613240191247314,None,64.84366741300619,None,64.84366741300619,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3446149299998,None,65.3446149299998,None,3,0.407,0.0035507781867636368,None,65.3446149299998,None,65.3446149299998,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Approaching your boss to ask for a raise. (S),,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.77798780000012,None,65.77798780000012,None,3,0.428,0.005860292192664929,None,65.77798780000012,None,65.77798780000012,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Illegally copying a piece of software. (E) ,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.22830355800397,None,66.22830355800397,None,3,0.432,0.006407960201613605,None,66.22830355800397,None,66.22830355800397,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.69470748500316,None,66.69470748500316,None,3,0.491,0.0016543591918889433,None,66.69470748500316,None,66.69470748500316,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.21069867700862,None,67.21069867700862,None,3,0.507,0.004357126206741668,None,67.21069867700862,None,67.21069867700862,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.74402125099732,None,67.74402125099732,None,3,0.442,0.0022787752095609903,None,67.74402125099732,None,67.74402125099732,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 5% of your annual income in an conservative stock. (I),,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.22754862900183,None,68.22754862900183,None,3,0.458,0.0019703161960933357,None,68.22754862900183,None,68.22754862900183,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.71099527500337,None,68.71099527500337,None,3,0.508,0.0019077581964666024,None,68.71099527500337,None,68.71099527500337,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.24421441300365,None,69.24421441300365,None,3,0.465,0.006913432196597569,None,69.24421441300365,None,69.24421441300365,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Engaging in unprotected sex. (H),,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.74470992900024,None,69.74470992900024,None,3,0.411,0.0066785011877072975,None,69.74470992900024,None,69.74470992900024,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.17738943600853,None,70.17738943600853,None,3,0.456,0.002229839185019955,None,70.17738943600853,None,70.17738943600853,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.66061212199565,None,70.66061212199565,None,3,0.61,0.0038688541972078383,None,70.66061212199565,None,70.66061212199565,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.29415173899906,None,71.29415173899906,None,3,0.41,0.0036154061963316053,None,71.29415173899906,None,71.29415173899906,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.74423669499811,None,71.74423669499811,None,4,0.405,0.0016196981887333095,None,71.74423669499811,None,71.74423669499811,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Not wearing a helmet when riding a motorcycle. (H),,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.17705202799698,None,72.17705202799698,None,4,0.508,0.0029786701925331727,None,72.17705202799698,None,72.17705202799698,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
