Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating_4.response,rating_4.rt,rating_4.started,rating_4.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating_3.response,rating_3.rt,rating_3.started,rating_3.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating_5.response,rating_5.rt,rating_5.started,rating_5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,congratsText.started,congratsText.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Having an affair with a married man or woman. (E),,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.06933715699961,None,2,0.51,0.005105086700496031,None,47.06933715699961,None,47.06933715699961,None,47.06933715699961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Forging somebody's signature. (E),,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.60250119600005,None,2,0.469,0.0038791417000538786,None,47.60250119600005,None,47.60250119600005,None,47.60250119600005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Passing off somebody else's work as your own. (E),,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.10211930599962,None,2,0.542,0.0033329326997773023,None,48.10211930599962,None,48.10211930599962,None,48.10211930599962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.66881122999985,None,2,0.41,0.004867432699938945,None,48.66881122999985,None,48.66881122999985,None,48.66881122999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.10247809500015,None,2,0.439,0.001520396700470883,None,49.10247809500015,None,49.10247809500015,None,49.10247809500015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Going down a ski run that is beyond your ability or closed. (R),,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.56868732699968,None,2,0.41,0.004949501701048575,None,49.56868732699968,None,49.56868732699968,None,49.56868732699968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.002950766999675,None,2,0.875,0.005257421700662235,None,50.002950766999675,None,50.002950766999675,None,50.002950766999675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Approaching your boss to ask for a raise. (S),,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.902907353000046,None,2,0.622,0.006278188699070597,None,50.902907353000046,None,50.902907353000046,None,50.902907353000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Illegally copying a piece of software. (E) ,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.55178086500018,None,2,1.931,0.009214840701133653,None,51.55178086500018,None,51.55178086500018,None,51.55178086500018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.50188312099999,None,2,0.478,0.002442524699290516,None,53.50188312099999,None,53.50188312099999,None,53.50188312099999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.01956742999937,None,2,0.408,0.0027445927007647697,None,54.01956742999937,None,54.01956742999937,None,54.01956742999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.45165191999968,None,2,0.577,0.0028041507002853905,None,54.45165191999968,None,54.45165191999968,None,54.45165191999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 5% of your annual income in an conservative stock. (I),,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.069485500000155,None,2,0.624,0.0046214097001211485,None,55.069485500000155,None,55.069485500000155,None,55.069485500000155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.718864370999654,None,2,0.41,0.005235333700511546,None,55.718864370999654,None,55.718864370999654,None,55.718864370999654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.152318598999955,None,2,0.606,0.0019742726999538718,None,56.152318598999955,None,56.152318598999955,None,56.152318598999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Engaging in unprotected sex. (H),,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.78492637799991,None,2,0.41,0.005774211700554588,None,56.78492637799991,None,56.78492637799991,None,56.78492637799991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.218527844000164,None,2,0.538,0.0022279567001532996,None,57.218527844000164,None,57.218527844000164,None,57.218527844000164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.785770458000115,None,2,0.41,0.003947012701246422,None,57.785770458000115,None,57.785770458000115,None,57.785770458000115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.21830275699995,None,2,0.591,0.0023468587005481822,None,58.21830275699995,None,58.21830275699995,None,58.21830275699995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.83578220100026,None,2,0.421,0.002071056700515328,None,58.83578220100026,None,58.83578220100026,None,58.83578220100026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Not wearing a helmet when riding a motorcycle. (H),,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.28513472600025,None,2,0.402,0.0025814956998146954,None,59.28513472600025,None,59.28513472600025,None,59.28513472600025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Gambling a week's income at a casino. (G),,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.71829325699946,None,2,0.662,0.009204557700286387,None,59.71829325699946,None,59.71829325699946,None,59.71829325699946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Taking a job that you enjoy over one that is prestigious but less enjoyable. (S),,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.401569636000204,None,2,0.403,0.0013122267009748612,None,60.401569636000204,None,60.401569636000204,None,60.401569636000204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.834615245999885,None,2,0.608,0.003487135700197541,None,60.834615245999885,None,60.834615245999885,None,60.834615245999885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Exposing yourself to the sun without using sunscreen. (H),,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4688266080002,None,2,0.413,0.00662452669985214,None,61.4688266080002,None,61.4688266080002,None,61.4688266080002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Trying out bungee jumping at least once. (R),,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.90137436199984,None,2,0.632,0.003931407700292766,None,61.90137436199984,None,61.90137436199984,None,61.90137436199984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,"Piloting your own small plane, if you could. (R) ",,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.56809781999982,None,2,0.408,0.003171080700667517,None,62.56809781999982,None,62.56809781999982,None,62.56809781999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.00121940400004,None,2,0.407,0.0015908237010080484,None,63.00121940400004,None,63.00121940400004,None,63.00121940400004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Regularly eating high cholesterol foods. (H) ,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.43507935599973,None,2,0.661,0.004158013700362062,None,63.43507935599973,None,63.43507935599973,None,63.43507935599973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Admitting that your tastes are different from those of your friends. (S),,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.18450238900004,None,64.48495603699939,None,64.48495603699939,None,2,2.722,0.015156709400798718,None,64.48495603699939,None,64.48495603699939,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.21867657500025,None,67.21867657500025,None,2,1.374,0.002808807700603211,None,67.21867657500025,None,67.21867657500025,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Betting a day's income at the horse races. (G),,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.61806994499966,None,68.61806994499966,None,2,0.428,0.004701457701230538,None,68.61806994499966,None,68.61806994499966,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Buying an illegal drug for your own use. (H),,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.068568314,None,69.068568314,None,2,0.411,0.005471710700476251,None,69.068568314,None,69.068568314,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Cheating on an exam. (E),,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.50099320699974,None,69.50099320699974,None,2,0.611,0.005816317700919171,None,69.50099320699974,None,69.50099320699974,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13512197199998,None,70.13512197199998,None,2,0.409,0.005006710700399708,None,70.13512197199998,None,70.13512197199998,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.56831077100014,None,70.56831077100014,None,2,0.577,0.003526370701365522,None,70.56831077100014,None,70.56831077100014,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.16759481200006,None,71.16759481200006,None,2,0.406,0.002003774699915084,None,71.16759481200006,None,71.16759481200006,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Cheating by a significant amount on your income tax return. (E),,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.60050616499939,None,71.60050616499939,None,2,0.407,0.001072078700417478,None,71.60050616499939,None,71.60050616499939,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Disagreeing with your father on a major issue. (S),,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.03480855699945,None,72.03480855699945,None,2,0.558,0.0021958447014185367,None,72.03480855699945,None,72.03480855699945,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Betting a day's income at a high stake poker game. (G),,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.61829351899996,None,72.61829351899996,None,2,0.406,0.0022944357006053906,None,72.61829351899996,None,72.61829351899996,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Having an affair with a married man or woman. (E),,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.05148428899975,None,73.05148428899975,None,2,0.54,0.0020263496999177733,None,73.05148428899975,None,73.05148428899975,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Forging somebody's signature. (E),,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.61779881700022,None,73.61779881700022,None,2,0.411,0.006661597700258426,None,73.61779881700022,None,73.61779881700022,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Passing off somebody else's work as your own. (E),,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.05135367099956,None,74.05135367099956,None,2,0.509,0.0034753137006191537,None,74.05135367099956,None,74.05135367099956,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5842191769998,None,74.5842191769998,None,2,0.405,0.016514087399627897,None,74.5842191769998,None,74.5842191769998,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.01768717699997,None,75.01768717699997,None,2,0.575,0.0012927556999784429,None,75.01768717699997,None,75.01768717699997,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Going down a ski run that is beyond your ability or closed. (R),,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.61853230299948,None,75.61853230299948,None,2,0.413,0.008093025699963619,None,75.61853230299948,None,75.61853230299948,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.050823605,None,76.050823605,None,2,0.589,0.0015260787004081067,None,76.050823605,None,76.050823605,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Approaching your boss to ask for a raise. (S),,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6676874750001,None,76.6676874750001,None,2,0.409,0.0038372957005776698,None,76.6676874750001,None,76.6676874750001,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Illegally copying a piece of software. (E) ,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1012821509994,None,77.1012821509994,None,2,0.525,0.005093022699838912,None,77.1012821509994,None,77.1012821509994,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.65106663000006,None,77.65106663000006,None,2,0.607,0.0029965846997583867,None,77.65106663000006,None,77.65106663000006,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.28472938399955,None,78.28472938399955,None,2,0.606,0.0030941037002776284,None,78.28472938399955,None,78.28472938399955,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.91860007699961,None,78.91860007699961,None,2,0.574,0.0031100377009352087,None,78.91860007699961,None,78.91860007699961,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 5% of your annual income in an conservative stock. (I),,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.51834898800007,None,79.51834898800007,None,2,0.477,0.004245336700478219,None,79.51834898800007,None,79.51834898800007,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01882987999943,None,80.01882987999943,None,2,0.474,0.002214229699347925,None,80.01882987999943,None,80.01882987999943,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.51755495799989,None,80.51755495799989,None,2,0.442,0.0027739527004086995,None,80.51755495799989,None,80.51755495799989,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Engaging in unprotected sex. (H),,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.98525889400025,None,80.98525889400025,None,2,0.552,0.0010069217005366227,None,80.98525889400025,None,80.98525889400025,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5684563599998,None,81.5684563599998,None,2,0.478,0.004058789700138732,None,81.5684563599998,None,81.5684563599998,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.06846705499993,None,82.06846705499993,None,2,0.493,0.007409426699268806,None,82.06846705499993,None,82.06846705499993,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5851347480002,None,82.5851347480002,None,2,0.54,0.0015453507003257982,None,82.5851347480002,None,82.5851347480002,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.15179074499974,None,83.15179074499974,None,2,0.507,0.0022723196998413187,None,83.15179074499974,None,83.15179074499974,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Not wearing a helmet when riding a motorcycle. (H),,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.68521184600013,None,83.68521184600013,None,2,0.477,0.004372644701106765,None,83.68521184600013,None,83.68521184600013,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Gambling a week's income at a casino. (G),,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.18401661999997,None,84.18401661999997,None,2,0.509,0.004496274699704372,None,84.18401661999997,None,84.18401661999997,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
